Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,14:27:43,01:05:59,74.8,281.6,20:05:15,43.7,391234,73.4%,waxinggibbous,,161.1
2023-01-02,15:27:27,01:36:25,68.8,288.0,20:51:13,38.8,395387,82.0%,waxinggibbous,,165.5
2023-01-03,16:27:12,02:09:33,63.7,293.5,21:39:03,34.9,398866,89.0%,waxinggibbous,,171.5
2023-01-04,17:26:14,02:46:37,60.0,298.0,22:28:48,32.0,401675,94.4%,waxinggibbous,,179.7
2023-01-05,18:23:07,03:28:35,57.8,301.1,23:20:00,30.5,403834,98.0%,waxinggibbous,,192.5
2023-01-06,19:16:05,04:15:49,57.3,302.6,,,,,waxinggibbous,,
2023-01-07,20:03:49,05:07:48,58.5,302.5,00:11:35,30.4,405359,99.7%,fullmoon,10:07:54,229.0
2023-01-08,20:45:49,06:03:09,61.2,300.6,01:02:16,31.6,406242,99.5%,waninggibbous,,335.0
2023-01-09,21:22:29,07:00:07,65.2,297.3,01:51:03,34.1,406440,97.4%,waninggibbous,,359.7
2023-01-10,21:54:47,07:57:11,70.2,292.8,02:37:22,37.7,405881,93.5%,waninggibbous,,9.6
2023-01-11,22:23:52,08:53:33,76.0,287.3,03:21:17,42.1,404474,88.0%,waninggibbous,,15.6
2023-01-12,22:51:00,09:49:09,82.3,281.1,04:03:18,47.2,402130,81.0%,waninggibbous,,19.4
2023-01-13,23:17:24,10:44:31,89.0,274.4,04:44:15,52.8,398788,72.7%,waninggibbous,,21.7
2023-01-14,23:44:20,11:40:36,95.9,267.5,05:25:13,58.7,394444,63.3%,waninggibbous,,22.5
2023-01-15,,12:38:32,,260.5,06:07:23,64.7,389176,53.1%,thirdquarter,13:10:19,21.9
2023-01-16,00:13:14,13:39:34,102.7,253.6,06:52:08,70.6,383177,42.5%,waningcrescent,,19.8
2023-01-17,00:45:50,14:44:35,109.3,247.3,07:40:54,76.1,376768,31.7%,waningcrescent,,16.0
2023-01-18,01:24:13,15:53:30,115.1,242.0,08:34:58,80.8,370400,21.5%,waningcrescent,,10.3
2023-01-19,02:10:45,17:04:26,119.7,238.5,09:34:53,84.2,364634,12.5%,waningcrescent,,2.2
2023-01-20,03:07:22,18:13:24,122.3,237.4,10:39:47,85.8,360080,5.5%,waningcrescent,,351.0
2023-01-21,04:14:07,19:15:57,122.3,239.0,11:46:53,85.1,357286,1.3%,waningcrescent,,331.0
2023-01-22,05:28:00,20:09:34,119.6,243.2,12:52:32,82.2,356612,0.3%,newmoon,07:53:15,224.9
2023-01-23,06:44:02,20:54:28,114.4,249.3,13:53:56,77.5,358135,2.6%,waxingcrescent,,175.9
2023-01-24,07:58:02,21:32:31,107.6,256.5,14:50:07,71.4,361638,8.0%,waxingcrescent,,165.0
2023-01-25,09:08:10,22:05:57,99.9,264.2,15:41:41,64.8,366678,15.8%,waxingcrescent,,160.2
2023-01-26,10:14:31,22:36:47,91.9,272.0,16:29:54,57.9,372694,25.3%,waxingcrescent,,158.3
2023-01-27,11:18:00,23:06:45,84.1,279.4,17:16:13,51.4,379107,35.8%,waxingcrescent,,158.4
2023-01-28,12:19:48,23:37:22,76.8,286.2,18:01:59,45.4,385401,46.6%,waxingcrescent,,160.3
2023-01-29,13:20:45,,70.4,,18:48:19,40.1,391171,57.1%,firstquarter,02:18:46,163.6
2023-01-30,14:21:13,00:10:03,64.9,292.1,19:35:59,35.8,396136,67.1%,waxinggibbous,,168.3
2023-01-31,15:20:47,00:46:05,60.8,297.0,20:25:19,32.6,400139,76.1%,waxinggibbous,,174.2
2023-02-01,16:18:21,01:26:35,58.1,300.5,21:16:03,30.7,403126,84.0%,waxinggibbous,,181.2
2023-02-02,17:12:24,02:12:10,57.1,302.5,22:07:26,30.2,405122,90.4%,waxinggibbous,,189.2
2023-02-03,18:01:34,03:02:41,57.8,302.8,22:58:21,31.0,406204,95.3%,waxinggibbous,,198.8
2023-02-04,18:45:08,03:57:06,60.1,301.4,23:47:43,33.2,406467,98.5%,waxinggibbous,,213.2
2023-02-05,19:23:18,04:53:47,63.8,298.5,,,,,waxinggibbous,,
2023-02-06,19:56:49,05:51:09,68.6,294.3,00:34:53,36.5,406002,99.8%,fullmoon,05:28:32,263.0
2023-02-07,20:26:46,06:48:04,74.2,289.0,01:19:38,40.7,404872,99.2%,waninggibbous,,352.9
2023-02-08,20:54:21,07:44:10,80.5,283.0,02:02:19,45.7,403110,96.8%,waninggibbous,,11.0
2023-02-09,21:20:42,08:39:41,87.1,276.4,02:43:34,51.1,400711,92.5%,waninggibbous,,17.5
2023-02-10,21:47:01,09:35:17,93.9,269.5,03:24:18,57.0,397654,86.4%,waninggibbous,,20.5
2023-02-11,22:14:35,10:31:57,100.7,262.5,04:05:33,62.9,393919,78.8%,waninggibbous,,21.3
2023-02-12,22:44:52,11:30:44,107.3,255.6,04:48:32,68.8,389512,69.8%,waninggibbous,,20.4
2023-02-13,23:19:39,12:32:34,113.3,249.2,05:34:30,74.4,384504,59.6%,waninggibbous,,17.8
2023-02-14,,13:37:48,,243.7,06:24:44,79.3,379056,48.6%,thirdquarter,03:00:47,13.6
2023-02-15,00:01:00,14:45:33,118.2,239.5,07:20:06,83.2,373445,37.3%,waningcrescent,,7.7
2023-02-16,00:51:04,15:53:16,121.6,237.3,08:20:35,85.5,368070,26.3%,waningcrescent,,0.1
2023-02-17,01:51:04,16:57:07,122.9,237.6,09:24:45,85.9,363428,16.3%,waningcrescent,,351.3
2023-02-18,02:59:58,17:53:53,121.5,240.6,10:29:46,84.1,360049,8.2%,waningcrescent,,341.2
2023-02-19,04:14:15,18:42:29,117.5,245.7,11:32:39,80.3,358386,2.7%,waningcrescent,,328.4
2023-02-20,05:29:30,19:23:50,111.5,252.5,12:31:32,74.8,358711,0.3%,newmoon,18:05:52,284.7
2023-02-21,06:42:35,19:59:50,104.0,260.2,13:26:05,68.3,361048,1.1%,waxingcrescent,,176.5
2023-02-22,07:52:27,20:32:30,95.9,268.3,14:17:04,61.3,365167,5.0%,waxingcrescent,,162.9
2023-02-23,08:59:23,21:03:38,87.6,276.2,15:05:42,54.3,370637,11.4%,waxingcrescent,,159.6
2023-02-24,10:04:14,21:34:51,79.8,283.6,15:53:17,47.7,376913,19.8%,waxingcrescent,,159.6
2023-02-25,11:07:49,22:07:35,72.7,290.2,16:40:57,41.9,383421,29.3%,waxingcrescent,,161.8
2023-02-26,12:10:33,22:43:12,66.6,295.6,17:29:32,37.0,389638,39.5%,waxingcrescent,,165.6
2023-02-27,13:12:08,23:22:51,61.8,299.7,18:19:26,33.4,395140,49.8%,firstquarter,19:05:37,170.6
2023-02-28,14:11:36,,58.6,,19:10:34,31.0,399625,59.9%,waxinggibbous,,176.6
2023-03-01,15:07:32,00:07:19,57.0,302.3,20:02:17,30.0,402921,69.3%,waxinggibbous,,183.2
2023-03-02,15:58:34,00:56:40,57.2,303.2,20:53:38,30.4,404978,77.9%,waxinggibbous,,190.1
2023-03-03,16:43:55,01:50:09,59.0,302.3,21:43:37,32.2,405844,85.4%,waxinggibbous,,196.9
2023-03-04,17:23:39,02:46:22,62.3,299.8,22:31:30,35.1,405643,91.5%,waxinggibbous,,203.7
2023-03-05,17:58:27,03:43:44,66.8,296.0,23:17:04,39.1,404540,96.1%,waxinggibbous,,211.1
2023-03-06,18:29:25,04:41:04,72.2,291.0,,,,,waxinggibbous,,
2023-03-07,18:57:41,05:37:48,78.4,285.1,00:00:31,43.9,402713,98.9%,fullmoon,23:40:20,223.5
2023-03-08,19:24:24,06:33:57,85.0,278.5,00:42:25,49.3,400326,99.9%,waninggibbous,,300.1
2023-03-09,19:50:44,07:30:03,91.9,271.6,01:23:33,55.2,397512,98.8%,waninggibbous,,10.0
2023-03-10,20:17:52,08:26:53,98.9,264.5,02:04:53,61.2,394360,95.7%,waninggibbous,,18.5
2023-03-11,20:47:09,09:25:21,105.6,257.5,02:47:29,67.2,390926,90.6%,waninggibbous,,20.2
2023-03-12,21:20:07,10:26:18,111.8,250.9,03:32:30,73.0,387235,83.5%,waninggibbous,,19.1
2023-03-13,21:58:35,11:30:04,117.1,245.0,04:21:01,78.1,383315,74.8%,waninggibbous,,15.9
2023-03-14,22:44:29,12:36:06,121.0,240.4,05:13:53,82.3,379220,64.6%,waninggibbous,,11.1
