Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,14:06:42,00:48:48,73.6,283.2,19:47:18,47.6,392769,76.6%,waxinggibbous,,162.5
2023-01-02,15:03:34,01:23:01,68.2,289.0,20:33:53,43.0,396687,84.6%,waxinggibbous,,167.4
2023-01-03,16:00:41,02:00:06,63.8,293.9,21:22:24,39.4,399929,91.1%,waxinggibbous,,174.1
2023-01-04,16:57:18,02:41:03,60.8,297.6,22:12:46,37.0,402506,95.9%,waxinggibbous,,183.5
2023-01-05,17:52:03,03:26:26,59.3,300.0,23:04:13,36.0,404442,98.8%,waxinggibbous,,199.8
2023-01-06,18:43:24,04:16:03,59.4,300.8,23:55:38,36.3,405744,99.8%,waxinggibbous,,269.9
2023-01-07,19:30:13,05:08:58,61.0,300.1,,,,,fullmoon,01:07:54,
2023-01-08,20:12:08,06:03:41,64.0,297.9,00:45:45,38.0,406393,99.0%,waninggibbous,,347.6
2023-01-09,20:49:32,06:58:41,68.1,294.3,01:33:41,40.9,406334,96.2%,waninggibbous,,3.9
2023-01-10,21:23:14,07:52:59,73.1,289.7,02:19:08,44.8,405488,91.8%,waninggibbous,,12.0
2023-01-11,21:54:20,08:46:12,78.8,284.3,03:02:18,49.5,403761,85.7%,waninggibbous,,17.1
2023-01-12,22:24:00,09:38:39,84.9,278.3,03:43:50,54.8,401071,78.2%,waninggibbous,,20.4
2023-01-13,22:53:26,10:31:05,91.4,271.9,04:24:40,60.5,397374,69.5%,waninggibbous,,22.1
2023-01-14,23:23:58,11:24:31,97.9,265.3,05:05:54,66.4,392690,59.8%,waninggibbous,,22.4
2023-01-15,23:57:06,12:20:11,104.3,258.7,05:48:49,72.4,387138,49.4%,thirdquarter,04:10:19,21.3
2023-01-16,,13:19:17,,252.3,06:34:49,78.2,380951,38.7%,waningcrescent,,18.7
2023-01-17,00:34:36,14:22:36,110.3,246.7,07:25:19,83.5,374498,28.1%,waningcrescent,,14.3
2023-01-18,01:18:31,15:29:52,115.4,242.2,08:21:26,87.9,368274,18.2%,waningcrescent,,7.9
2023-01-19,02:10:47,16:38:59,119.1,239.7,09:23:19,89.3,362865,9.8%,waningcrescent,,177.6
2023-01-20,03:12:16,17:46:06,120.7,239.5,10:29:23,88.5,358873,3.7%,waningcrescent,,165.2
2023-01-21,04:21:31,18:47:16,119.8,241.8,11:36:23,90.0,356797,0.5%,newmoon,22:53:15,119.1
2023-01-22,05:34:35,19:40:30,116.4,246.4,12:40:46,86.4,356902,0.7%,waxingcrescent,,195.1
2023-01-23,06:47:04,20:26:09,110.9,252.6,13:40:21,81.1,359159,4.2%,waxingcrescent,,170.9
2023-01-24,07:56:10,21:05:54,104.1,259.7,14:34:47,74.8,363261,10.5%,waxingcrescent,,162.9
2023-01-25,09:01:11,21:41:43,96.7,267.1,15:25:00,68.0,368711,19.0%,waxingcrescent,,159.2
2023-01-26,10:02:46,22:15:28,89.2,274.4,16:12:23,61.3,374931,28.9%,waxingcrescent,,158.1
2023-01-27,11:02:04,22:48:46,82.0,281.3,16:58:23,54.8,381356,39.6%,waxingcrescent,,158.9
2023-01-28,12:00:12,23:23:03,75.3,287.4,17:44:14,49.1,387506,50.3%,firstquarter,17:18:46,161.3
2023-01-29,12:57:55,23:59:37,69.5,292.7,18:30:58,44.1,393018,60.7%,waxinggibbous,,165.1
2023-01-30,13:55:28,,64.8,,19:19:13,40.2,397657,70.4%,waxinggibbous,,170.2
2023-01-31,14:52:25,00:39:33,61.4,296.8,20:09:05,37.4,401305,79.0%,waxinggibbous,,176.5
2023-02-01,15:47:42,01:23:35,59.5,299.6,21:00:10,36.0,403937,86.4%,waxinggibbous,,183.9
2023-02-02,16:39:58,02:11:51,59.1,300.9,21:51:31,36.0,405602,92.3%,waxinggibbous,,192.3
2023-02-03,17:28:01,03:03:45,60.3,300.6,22:42:00,37.3,406385,96.6%,waxinggibbous,,202.9
2023-02-04,18:11:19,03:58:02,62.9,298.8,23:30:39,39.8,406383,99.1%,waxinggibbous,,222.3
2023-02-05,18:50:01,04:53:10,66.7,295.6,,,,,fullmoon,20:28:32,
2023-02-06,19:24:48,05:47:57,71.5,291.3,00:16:57,43.5,405678,99.8%,waninggibbous,,307.8
2023-02-07,19:56:37,06:41:47,77.1,286.0,01:00:56,48.0,404325,98.6%,waninggibbous,,2.0
2023-02-08,20:26:33,07:34:38,83.1,280.1,01:43:01,53.2,402340,95.5%,waninggibbous,,13.9
2023-02-09,20:55:45,08:27:01,89.5,273.7,02:23:58,58.8,399713,90.5%,waninggibbous,,18.9
2023-02-10,21:25:24,09:19:45,96.0,267.2,03:04:45,64.7,396419,83.9%,waninggibbous,,21.0
2023-02-11,21:56:49,10:13:52,102.4,260.6,03:46:28,70.7,392444,75.8%,waninggibbous,,21.1
2023-02-12,22:31:32,11:10:26,108.5,254.2,04:30:21,76.5,387814,66.3%,waninggibbous,,19.6
2023-02-13,23:11:21,12:10:20,113.8,248.4,05:17:41,81.9,382628,55.8%,thirdquarter,18:00:47,16.5
2023-02-14,23:58:07,13:13:48,118.0,243.6,06:09:39,86.5,377085,44.6%,waningcrescent,,11.8
2023-02-15,,14:19:50,,240.3,07:06:53,89.9,371505,33.4%,waningcrescent,,10.6
2023-02-16,00:53:18,15:25:50,120.5,239.0,08:08:55,88.4,366327,22.6%,waningcrescent,,176.6
2023-02-17,01:56:59,16:28:17,120.8,240.2,09:13:45,88.8,362070,13.2%,waningcrescent,,167.2
2023-02-18,03:06:56,17:24:27,118.6,243.7,10:18:19,88.7,359250,5.9%,waningcrescent,,337.6
2023-02-19,04:19:18,18:13:30,114.2,249.1,11:19:56,84.2,358267,1.4%,waningcrescent,,321.2
2023-02-20,05:30:32,18:56:19,107.9,255.9,12:17:15,78.3,359310,0.2%,newmoon,09:05:52,226.0
2023-02-21,06:38:44,19:34:35,100.6,263.4,13:10:26,71.5,362311,2.1%,waxingcrescent,,169.2
2023-02-22,07:43:41,20:10:07,92.8,271.1,14:00:26,64.4,366962,7.0%,waxingcrescent,,161.2
2023-02-23,08:46:05,20:44:34,85.1,278.4,14:48:34,57.6,372781,14.2%,waxingcrescent,,159.3
2023-02-24,09:46:53,21:19:28,77.9,285.2,15:36:04,51.2,379202,23.0%,waxingcrescent,,160.2
2023-02-25,10:46:51,21:56:09,71.5,291.0,16:23:58,45.7,385664,32.8%,waxingcrescent,,163.0
2023-02-26,11:46:18,22:35:45,66.2,295.7,17:12:59,41.3,391672,43.1%,waxingcrescent,,167.2
2023-02-27,12:44:55,23:19:07,62.2,299.1,18:03:22,38.0,396844,53.4%,firstquarter,10:05:37,172.6
