Date,Line,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,1,,03:16:00,,290.7,20:41:31,53.3,393094,77.2%,waxinggibbous,,342.8
2023-01-01,2,13:08:56,,0.00,,,,,,,,
2023-01-02,1,,04:33:33,,299.8,21:28:14,57.9,396960,85.2%,waxinggibbous,,347.8
2023-01-02,2,13:25:08,,0.00,,,,,,,,
2023-01-03,1,,05:50:13,,307.7,22:16:54,61.4,400150,91.6%,waxinggibbous,,354.7
2023-01-03,2,13:46:11,,0.00,,,,,,,,
2023-01-04,1,,07:03:48,,313.9,23:07:23,63.7,402678,96.2%,waxinggibbous,,4.3
2023-01-04,2,14:14:40,,0.00,,,,,,,,
2023-01-05,1,,08:10:22,,317.8,23:58:53,64.6,404564,99.0%,waxinggibbous,,21.8
2023-01-05,2,14:53:33,,0.00,,,,,,,,
2023-01-06,1,,09:05:49,,318.7,,,,,waxinggibbous,,
2023-01-06,2,15:44:38,,0.00,,,,,,,,
2023-01-07,1,,09:48:23,,316.7,00:50:14,64.2,405818,99.8%,fullmoon,00:07:54,101.1
2023-01-07,2,16:46:51,,0.00,,,,,,,,
2023-01-08,1,,10:19:29,,312.1,01:40:13,62.4,406414,98.8%,waninggibbous,,169.5
2023-01-08,2,17:56:20,,0.00,,,,,,,,
2023-01-09,1,,10:42:07,,305.8,02:27:58,59.4,406298,95.9%,waninggibbous,,184.7
2023-01-09,2,19:08:56,,0.00,,,,,,,,
2023-01-10,1,,10:59:05,,298.3,03:13:13,55.4,405388,91.4%,waninggibbous,,192.5
2023-01-10,2,20:21:55,,0.00,,,,,,,,
2023-01-11,1,,11:12:31,,290.0,03:56:14,50.7,403589,85.2%,waninggibbous,,197.4
2023-01-11,2,21:34:21,,0.00,,,,,,,,
2023-01-12,1,,11:23:54,,281.1,04:37:41,45.3,400823,77.6%,waninggibbous,,200.5
2023-01-12,2,22:46:32,,0.00,,,,,,,,
2023-01-13,1,,11:34:23,,271.8,05:18:30,39.6,397048,68.8%,waninggibbous,,202.2
2023-01-13,2,23:59:37,,0.00,,,,,,,,
2023-01-14,1,,11:44:57,,262.3,05:59:49,33.7,392292,59.1%,waninggibbous,,202.4
2023-01-15,1,01:15:06,11:56:41,103.1,252.7,06:42:55,27.7,386681,48.6%,thirdquarter,03:10:19,201.2
2023-01-16,1,02:34:34,12:11:01,113.1,243.2,07:29:13,22.0,380459,37.8%,waningcrescent,,198.4
