Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,12:17:36,03:15:39,60.2,295.5,20:17:23,45.6,393026,77.1%,waxinggibbous,,342.7
2023-01-02,12:20:57,04:46:43,49.3,307.3,21:04:04,50.2,396903,85.1%,waxinggibbous,,347.7
2023-01-03,12:27:18,06:18:42,39.2,318.4,21:52:43,53.7,400104,91.5%,waxinggibbous,,354.6
2023-01-04,12:39:51,07:48:52,30.5,327.9,22:43:10,56.0,402642,96.1%,waxinggibbous,,4.1
2023-01-05,13:05:26,09:09:26,24.8,334.6,23:34:40,57.0,404539,98.9%,waxinggibbous,,21.4
2023-01-06,13:54:04,10:08:08,24.2,336.1,,,,,waxinggibbous,,
2023-01-07,15:06:47,10:40:59,29.1,332.1,00:26:02,56.6,405802,99.8%,fullmoon,00:07:54,98.8
2023-01-08,16:32:02,10:57:06,37.5,324.6,01:16:02,54.8,406410,98.8%,waninggibbous,,169.2
2023-01-09,17:59:59,11:05:05,47.6,315.3,02:03:49,51.8,406306,96.0%,waninggibbous,,184.5
2023-01-10,19:26:32,11:09:09,58.5,305.2,02:49:07,47.9,405409,91.4%,waninggibbous,,192.4
2023-01-11,20:50:59,11:11:14,69.8,294.6,03:32:10,43.1,403626,85.3%,waninggibbous,,197.4
2023-01-12,22:14:17,11:12:17,81.5,283.6,04:13:38,37.8,400876,77.7%,waninggibbous,,200.5
2023-01-13,23:38:15,11:12:52,93.6,272.4,04:54:27,32.1,397117,69.0%,waninggibbous,,202.1
2023-01-14,,11:13:25,,260.9,05:35:45,26.2,392377,59.2%,waninggibbous,,202.4
2023-01-15,01:05:09,11:14:21,105.9,249.1,06:18:49,20.2,386777,48.8%,thirdquarter,03:10:19,201.2
2023-01-16,02:37:28,11:16:18,118.5,237.2,07:05:03,14.5,380563,38.0%,waningcrescent,,198.4
2023-01-17,04:17:19,11:20:27,131.3,225.2,07:55:52,9.3,374109,27.4%,waningcrescent,,193.8
2023-01-18,06:04:32,11:29:43,143.7,213.9,08:52:20,5.2,367916,17.6%,waningcrescent,,187.2
2023-01-19,07:51:29,11:52:21,153.9,204.9,09:54:32,2.6,362576,9.3%,waningcrescent,,178.0
2023-01-20,09:14:21,12:48:32,157.6,202.7,11:00:46,2.0,358689,3.4%,waningcrescent,,164.6
2023-01-21,09:55:17,14:28:11,151.9,209.9,12:07:42,3.4,356740,0.4%,newmoon,21:53:15,129.6
2023-01-22,10:11:35,16:25:38,140.8,222.4,13:11:50,7.0,356980,0.8%,waxingcrescent,,12.0
2023-01-23,10:18:35,18:21:01,127.9,236.5,14:11:06,12.3,359360,4.5%,waxingcrescent,,350.1
2023-01-24,10:21:54,20:08:45,114.5,250.9,15:05:15,18.5,363559,11.0%,waxingcrescent,,342.5
2023-01-25,10:23:35,21:49:16,101.2,265.1,15:55:15,25.3,369072,19.6%,waxingcrescent,,339.1
2023-01-26,10:24:38,23:24:55,88.2,278.7,16:42:31,32.0,375320,29.6%,waxingcrescent,,338.1
2023-01-27,10:25:38,,75.6,,17:28:28,38.4,381741,40.2%,waxingcrescent,,339.0
2023-01-28,10:27:06,00:58:12,63.6,291.7,18:14:21,44.1,387861,51.0%,firstquarter,16:18:46,341.5
2023-01-29,10:29:45,02:31:02,52.2,304.1,19:01:10,49.0,393326,61.3%,waxinggibbous,,345.4
2023-01-30,10:34:47,04:04:09,41.7,315.6,19:49:30,52.9,397907,70.9%,waxinggibbous,,350.6
2023-01-31,10:44:42,05:36:02,32.4,325.7,20:39:28,55.6,401493,79.5%,waxinggibbous,,356.9
2023-02-01,11:05:04,07:00:49,25.6,333.5,21:30:36,57.0,404065,86.8%,waxinggibbous,,4.3
2023-02-02,11:45:50,08:06:54,23.3,336.8,22:21:55,56.9,405674,92.6%,waxinggibbous,,12.9
2023-02-03,12:52:31,08:46:14,26.7,334.2,23:12:19,55.5,406406,96.8%,waxinggibbous,,23.7
2023-02-04,14:15:49,09:05:39,34.5,327.3,,,,,waxinggibbous,,
2023-02-05,15:44:13,09:15:01,44.3,318.3,00:00:50,52.9,406359,99.2%,fullmoon,19:28:32,44.3
2023-02-06,17:12:02,09:19:41,55.1,308.3,00:46:59,49.2,405614,99.8%,waninggibbous,,134.8
2023-02-07,18:37:40,09:22:00,66.5,297.7,01:30:50,44.6,404222,98.4%,waninggibbous,,183.2
2023-02-08,20:01:31,09:23:04,78.2,286.8,02:12:50,39.4,402199,95.2%,waninggibbous,,194.3
2023-02-09,21:24:59,09:23:32,90.1,275.6,02:53:45,33.7,399533,90.2%,waninggibbous,,199.0
2023-02-10,22:50:01,09:23:49,102.3,264.2,03:34:33,27.9,396198,83.5%,waninggibbous,,201.0
2023-02-11,,09:24:17,,252.6,04:16:22,21.9,392182,75.2%,waninggibbous,,201.1
2023-02-12,00:18:49,09:25:26,114.7,240.9,05:00:25,16.2,387514,65.7%,waninggibbous,,199.5
2023-02-13,01:53:30,09:28:03,127.2,229.2,05:48:01,10.9,382300,55.1%,thirdquarter,17:00:48,196.2
2023-02-14,03:35:03,09:33:57,139.5,217.8,06:40:17,6.5,376744,44.0%,waningcrescent,,191.3
2023-02-15,05:20:24,09:47:53,150.6,207.7,07:37:50,3.3,371175,32.7%,waningcrescent,,184.6
2023-02-16,06:54:56,10:23:32,157.8,201.8,08:40:06,1.8,366038,22.0%,waningcrescent,,176.5
