Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,13:49:06,02:05:37,73.3,284.1,20:21:57,89.1,393875,78.8%,waxinggibbous,,343.2
2023-01-02,14:28:50,02:58:43,68.5,289.3,21:09:01,86.5,397614,86.5%,waxinggibbous,,169.1
2023-01-03,15:11:43,03:52:37,64.8,293.7,21:58:04,83.2,400677,92.6%,waxinggibbous,,176.3
2023-01-04,15:58:06,04:46:59,62.2,296.8,22:48:49,81.1,403082,96.9%,waxinggibbous,,186.8
2023-01-05,16:47:45,05:40:54,61.1,298.6,23:40:23,80.5,404850,99.3%,waxinggibbous,,207.9
2023-01-06,17:39:44,06:32:59,61.5,298.9,,,,,fullmoon,19:07:54,
2023-01-07,18:32:41,07:22:00,63.3,297.7,00:31:34,81.2,405982,99.8%,waninggibbous,,306.0
2023-01-08,19:25:18,08:07:09,66.3,295.2,01:21:10,83.2,406449,98.4%,waninggibbous,,353.7
2023-01-09,20:16:43,08:48:21,70.4,291.6,02:08:27,86.4,406190,95.2%,waninggibbous,,6.6
2023-01-10,21:06:43,09:26:07,75.3,287.1,02:53:15,89.4,405119,90.3%,waninggibbous,,192.8
2023-01-11,21:55:37,10:01:15,80.9,281.9,03:35:55,84.5,403143,83.9%,waninggibbous,,198.0
2023-01-12,22:44:09,10:34:48,86.8,276.1,04:17:10,79.1,400188,76.0%,waninggibbous,,200.9
2023-01-13,23:33:21,11:07:56,93.1,270.1,04:57:59,73.3,396223,67.0%,waninggibbous,,202.3
2023-01-14,,11:41:54,,263.9,05:39:32,67.3,391293,57.1%,thirdquarter,22:10:19,202.2
2023-01-15,00:24:26,12:18:08,99.3,257.7,06:23:08,61.3,385544,46.6%,waningcrescent,,200.7
2023-01-16,01:18:41,12:58:16,105.4,252.0,07:10:11,55.6,379245,35.8%,waningcrescent,,197.6
2023-01-17,02:17:10,13:44:04,110.9,246.9,08:02:06,50.5,372800,25.3%,waningcrescent,,192.6
2023-01-18,03:20:17,14:37:10,115.4,243.1,08:59:47,46.5,366732,15.8%,waningcrescent,,185.5
2023-01-19,04:27:01,15:38:09,118.3,241.1,10:03:01,44.2,361643,7.9%,waningcrescent,,175.7
2023-01-20,05:34:29,16:45:37,119.0,241.4,11:09:42,44.0,358119,2.5%,waningcrescent,,160.8
2023-01-21,06:38:48,17:56:02,117.4,244.1,12:16:19,46.0,356608,0.2%,newmoon,16:53:15,107.4
2023-01-22,07:37:01,19:05:23,113.6,248.8,13:19:33,50.1,357300,1.3%,waxingcrescent,,4.4
2023-01-23,08:28:20,20:11:04,108.0,255.0,14:17:44,55.7,360087,5.6%,waxingcrescent,,348.0
2023-01-24,09:13:38,21:12:29,101.5,261.9,15:10:56,62.2,364600,12.6%,waxingcrescent,,341.5
2023-01-25,09:54:36,22:10:18,94.5,269.0,16:00:16,69.1,370312,21.5%,waxingcrescent,,338.7
2023-01-26,10:32:58,23:05:42,87.5,275.9,16:47:08,75.8,376639,31.7%,waxingcrescent,,338.1
2023-01-27,11:10:21,23:59:53,80.9,282.3,17:32:58,82.1,383033,42.4%,waxingcrescent,,339.4
2023-01-28,11:48:11,,74.9,,18:18:59,87.7,389044,53.1%,firstquarter,11:18:46,342.0
2023-01-29,12:27:41,00:53:50,69.7,288.0,19:06:04,87.6,394342,63.4%,waxinggibbous,,166.5
2023-01-30,13:09:50,01:48:03,65.6,292.6,19:54:46,83.9,398725,72.8%,waxinggibbous,,171.9
2023-01-31,13:55:11,02:42:31,62.7,296.1,20:45:01,81.5,402102,81.1%,waxinggibbous,,178.4
2023-02-01,14:43:48,03:36:35,61.2,298.3,21:36:17,80.4,404471,88.1%,waxinggibbous,,186.0
2023-02-02,15:35:02,04:29:08,61.1,299.0,22:27:30,80.7,405892,93.6%,waxinggibbous,,194.9
2023-02-03,16:27:43,05:18:58,62.5,298.3,23:17:35,82.4,406457,97.5%,waxinggibbous,,206.6
2023-02-04,17:20:35,06:05:13,65.2,296.2,,,,,waxinggibbous,,
2023-02-05,18:12:35,06:47:36,69.0,292.9,00:05:38,85.3,406261,99.5%,fullmoon,14:28:32,233.2
2023-02-06,19:03:14,07:26:25,73.8,288.5,00:51:18,89.2,405380,99.7%,waninggibbous,,334.2
2023-02-07,19:52:37,08:02:20,79.2,283.5,01:34:43,86.0,403859,97.9%,waninggibbous,,186.3
2023-02-08,20:41:13,08:36:17,85.1,277.8,02:16:25,80.7,401706,94.3%,waninggibbous,,195.6
2023-02-09,21:29:54,09:09:19,91.3,271.8,02:57:14,74.9,398905,88.9%,waninggibbous,,199.6
2023-02-10,22:19:40,09:42:33,97.5,265.6,03:38:09,69.0,395430,81.9%,waninggibbous,,201.1
2023-02-11,23:11:38,10:17:16,103.6,259.5,04:20:19,63.0,391276,73.4%,waninggibbous,,200.9
2023-02-12,,10:54:52,,253.7,05:04:59,57.3,386485,63.6%,waninggibbous,,198.9
2023-02-13,00:06:53,11:36:56,109.2,248.5,05:53:27,52.1,381180,52.9%,thirdquarter,12:00:47,195.3
2023-02-14,01:06:04,12:25:03,114.0,244.3,06:46:47,47.8,375591,41.6%,waningcrescent,,190.0
2023-02-15,02:09:00,13:20:24,117.5,241.5,07:45:24,44.8,370070,30.4%,waningcrescent,,183.1
2023-02-16,03:14:01,14:22:50,119.2,240.8,08:48:26,43.6,365085,20.0%,waningcrescent,,174.6
2023-02-17,04:18:09,15:30:22,118.7,242.3,09:53:30,44.6,361162,11.0%,waningcrescent,,165.1
2023-02-18,05:18:17,16:39:32,115.9,246.0,10:57:31,47.6,358798,4.4%,waningcrescent,,154.0
2023-02-19,06:12:37,17:47:11,111.2,251.5,11:58:02,52.5,358344,0.8%,waningcrescent,,132.5
2023-02-20,07:01:04,18:51:35,105.1,258.2,12:54:12,58.7,359925,0.4%,newmoon,03:05:52,14.6
2023-02-21,07:44:47,19:52:34,98.1,265.5,13:46:25,65.6,363402,3.2%,waxingcrescent,,345.9
2023-02-22,08:25:19,20:50:52,90.8,272.8,14:35:48,72.7,368416,8.7%,waxingcrescent,,340.3
2023-02-23,09:04:16,21:47:33,83.7,279.8,15:23:39,79.5,374451,16.4%,waxingcrescent,,339.3
2023-02-24,09:43:07,22:43:32,77.2,286.0,16:11:09,85.7,380936,25.5%,waxingcrescent,,340.7
2023-02-25,10:23:08,23:39:24,71.4,291.2,16:59:19,89.1,387321,35.6%,waxingcrescent,,164.6
2023-02-26,11:05:21,,66.8,,17:48:41,84.9,393140,45.9%,waxingcrescent,,168.6
