Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-01-01,12:57:53,02:22:13,68.9,288.1,20:07:13,66.2,393999,79.1%,waxinggibbous,,343.7
2023-01-02,13:25:56,03:27:58,62.7,294.9,20:54:21,70.6,397717,86.7%,waxinggibbous,,349.1
2023-01-03,13:58:46,04:33:03,57.8,300.5,21:43:27,73.9,400760,92.7%,waxinggibbous,,356.5
2023-01-04,14:37:50,05:36:05,54.3,304.6,22:34:14,75.9,403145,97.0%,waxinggibbous,,7.1
2023-01-05,15:24:00,06:34:55,52.8,306.9,23:25:49,76.5,404894,99.3%,waxinggibbous,,29.0
2023-01-06,16:16:59,07:27:24,53.2,307.2,,,,,fullmoon,18:07:54,
2023-01-07,17:15:13,08:12:20,55.6,305.4,00:16:58,75.7,406006,99.8%,waninggibbous,,129.2
2023-01-08,18:16:24,08:49:51,59.7,302.0,01:06:30,73.7,406452,98.3%,waninggibbous,,174.2
2023-01-09,19:18:31,09:21:05,65.2,297.1,01:53:43,70.4,406170,95.1%,waninggibbous,,186.7
2023-01-10,20:20:23,09:47:33,71.6,291.2,02:38:26,66.3,405073,90.1%,waninggibbous,,193.7
2023-01-11,21:21:47,10:10:43,78.7,284.6,03:21:03,61.4,403068,83.6%,waninggibbous,,198.2
2023-01-12,22:23:13,10:31:58,86.3,277.4,04:02:16,55.9,400082,75.8%,waninggibbous,,201.0
2023-01-13,23:25:41,10:52:32,94.2,269.8,04:43:05,50.1,396087,66.7%,waninggibbous,,202.3
2023-01-14,,11:13:40,,262.1,05:24:41,44.1,391129,56.8%,thirdquarter,21:10:19,202.2
2023-01-15,00:30:27,11:36:46,102.1,254.4,06:08:22,38.2,385358,46.3%,waningcrescent,,200.7
2023-01-16,01:38:41,12:03:40,109.9,247.0,06:55:33,32.5,379048,35.5%,waningcrescent,,197.5
2023-01-17,02:51:01,12:36:46,117.1,240.5,07:47:38,27.5,372606,25.0%,waningcrescent,,192.5
2023-01-18,04:06:31,13:19:09,123.0,235.4,08:45:30,23.5,366560,15.5%,waningcrescent,,185.2
2023-01-19,05:21:40,14:13:55,126.7,232.6,09:48:52,21.3,361510,7.7%,waningcrescent,,175.3
2023-01-20,06:30:51,15:22:08,127.6,233.0,10:55:36,21.1,358042,2.4%,waningcrescent,,160.1
2023-01-21,07:29:15,16:40:35,125.1,236.6,12:02:10,23.2,356596,0.2%,newmoon,15:53:15,103.0
2023-01-22,08:15:49,18:02:59,119.8,243.0,13:05:16,27.4,357355,1.4%,waxingcrescent,,3.5
2023-01-23,08:52:38,19:23:57,112.5,251.0,14:03:17,33.0,360201,5.8%,waxingcrescent,,347.7
2023-01-24,09:22:41,20:41:02,104.1,259.9,14:56:21,39.5,364760,12.8%,waxingcrescent,,341.4
2023-01-25,09:48:35,21:54:09,95.4,268.9,15:45:35,46.3,370499,21.8%,waxingcrescent,,338.6
2023-01-26,10:12:27,23:04:18,86.7,277.7,16:32:24,53.0,376835,32.0%,waxingcrescent,,338.2
2023-01-27,10:35:56,,78.5,,17:18:14,59.2,383224,42.8%,waxingcrescent,,339.4
2023-01-28,11:00:34,00:12:35,70.9,285.8,18:04:15,64.8,389217,53.4%,firstquarter,10:18:46,342.3
2023-01-29,11:27:49,01:19:45,64.3,293.1,18:51:23,69.5,394490,63.7%,waxinggibbous,,346.5
2023-01-30,11:59:14,02:25:48,58.9,299.2,19:40:08,73.1,398843,73.0%,waxinggibbous,,351.9
2023-01-31,12:36:21,03:29:48,55.0,303.8,20:30:26,75.5,402189,81.3%,waxinggibbous,,358.5
2023-02-01,13:20:15,04:29:58,52.9,306.6,21:21:42,76.6,404528,88.3%,waxinggibbous,,6.2
2023-02-02,14:11:10,05:24:15,52.7,307.5,22:12:55,76.2,405921,93.8%,waxinggibbous,,15.1
2023-02-03,15:07:58,06:11:14,54.6,306.3,23:02:56,74.5,406462,97.5%,waxinggibbous,,27.0
2023-02-04,16:08:37,06:50:45,58.2,303.3,23:50:55,71.6,406244,99.5%,waxinggibbous,,54.7
2023-02-05,17:10:54,07:23:40,63.4,298.8,,,,,fullmoon,13:28:32,
2023-02-06,18:13:16,07:51:22,69.6,293.1,00:36:31,67.6,405343,99.6%,waninggibbous,,155.7
2023-02-07,19:15:07,08:15:22,76.6,286.6,01:19:52,62.9,403803,97.8%,waninggibbous,,186.9
2023-02-08,20:16:36,08:37:00,84.1,279.5,02:01:32,57.5,401630,94.2%,waninggibbous,,195.8
2023-02-09,21:18:25,08:57:29,91.9,272.0,02:42:20,51.8,398809,88.8%,waninggibbous,,199.7
2023-02-10,22:21:37,09:18:00,99.8,264.3,03:23:16,45.8,395313,81.7%,waninggibbous,,201.2
2023-02-11,23:27:16,09:39:48,107.6,256.7,04:05:29,39.9,391139,73.1%,waninggibbous,,200.8
